MOVIE_ID,totCnt,MovieCd,MovieNm(csv),movieNm(api),showTm,prdtYear,openDt,typeNm,nationNm,genreNm,watchGrade
0,0,20156921,걸어서하늘까지(1992),,,,,,,,
1,1,20175865,너와극장에서,너와 극장에서,79,2017,20180628,옴니버스,한국,드라마,12세이상관람가
2,0,20175865,가려진시간[가치봄],,,,,,,,
3,6,20175865,그링고,,,,,,,,
4,0,20175865,스위치(2010),,,,,,,,
5,2,20175865,국도극장,,,,,,,,
6,1,20020199,맨인블랙2,맨 인 블랙 2,88,2002,20020710,장편,미국,SF,12세관람가
8,1,20209222,곤조는못말려,곤조는 못말려,99,2010,,장편,미국,코미디,
9,1,20195985,손오공:색즉시공,손오공: 색즉시공,99,2017,,장편,중국,판타지,
10,1,20156181,13이어리,13 이어리,85,2013,20150121,장편,캐나다,공포(호러),청소년관람불가
11,1,20156207,앵그리버드더무비,앵그리버드 더 무비,97,2016,20160519,장편,미국,애니메이션,전체관람가
12,1,2022A539,백조공주:왕실결혼식,백조공주: 왕실 결혼식,,2020,,온라인전용,미국,애니메이션,
13,0,2022A539,"좀비들의도시,베가스",,,,,,,,
14,1,20182403,크레이지리치아시안,크레이지 리치 아시안,120,2018,20181025,장편,미국,멜로/로맨스,12세이상관람가
15,0,20182403,신정무문2-뇌전영웅,,,,,,,,
16,21,20182403,벌룬,,,,,,,,
17,0,20182403,뤽베송의마지막전투,,,,,,,,
18,1,20205366,프리댄스,프리댄스,103,2018,,장편,루마니아,멜로/로맨스,
19,1,20048059,미키의크리스마스선물,미키의 크리스마스 선물,67,2004,,장편,미국,애니메이션,전체관람가
20,1,20050228,보글보글스폰지밥,보글보글 스폰지밥(애니),87,2004,20050930,장편,미국,애니메이션,전체관람가
21,0,20050228,오버로드(2018),,,,,,,,
22,0,20050228,철권:블러드벤젠스,,,,,,,,
23,1,20050110,연애의목적,연애의 목적,121,2005,20050610,장편,한국,드라마,18세관람가
24,1,2022A564,블랙클랜스맨,블랙클랜스맨,,2018,,온라인전용,미국,코미디,
25,1,20189866,나이트메어비긴즈,나이트메어 비긴즈,93,2017,20180901,장편,영국,공포(호러),15세이상관람가
26,1,20172404,올드마린보이,올드마린보이,84,2017,20171102,장편,한국,다큐멘터리,전체관람가
27,4,20172404,마법에걸린사랑,,,,,,,,
28,4,20172404,바이더씨,,,,,,,,
29,0,20172404,디즈니네이쳐:베어,,,,,,,,
30,1,20203163,윙오브스틸,윙 오브 스틸,100,2018,,장편,체코,드라마,
31,1,20209467,전설의파이터,전설의 파이터,89,2020,20200616,장편,한국,액션,청소년관람불가
32,1,20132063,포레스트로빈후드,포레스트 로빈후드,93,2009,,장편,캐나다,액션,
33,1,20191106,영화로운나날,영화로운 나날,86,2019,20191212,장편,한국,멜로/로맨스,12세이상관람가
34,2,20191106,소시민,,,,,,,,
36,0,20191106,촉산(1983),,,,,,,,
37,1,20110656,슈퍼에이트,슈퍼 에이트,112,2011,20110616,장편,미국,SF,12세이상관람가
38,1,20177845,지워야산다,지워야 산다,72,2017,20171123,장편,한국,범죄,청소년관람불가
39,0,20177845,얼굴없는보스:못다한이야기[감독판],,,,,,,,
40,1,20166602,그대이름은장미,그대 이름은 장미,125,2016,20190116,장편,한국,코미디,12세이상관람가
41,1,20070416,약지의표본,약지의 표본,104,2005,20070823,장편,프랑스,드라마,청소년관람불가
42,0,20070416,천장지구(1990),,,,,,,,
43,5,20070416,그남자그여자,,,,,,,,
44,1,2022A458,"로만J이스라엘,에스콰이어","로만 J 이스라엘, 에스콰이어",,2017,,온라인전용,미국,범죄,
45,1,20150250,하우스오브다크,하우스 오브 다크,109,2014,20150625,장편,스페인,공포(호러),15세이상관람가
46,1,20175782,분노의전차군단,분노의 전차군단,87,2014,20170508,장편,미국,액션,15세이상관람가
47,0,20175782,패션왕[가치봄],,,,,,,,
48,0,20175782,퍼펙트크라임(2015),,,,,,,,
49,1,20182927,배드키즈아카데미,배드 키즈 아카데미,101,2017,,장편,미국,액션,
50,1,20156921,익스트랙션데이,익스트랙션 데이,105,2014,20150225,장편,미국,액션,15세이상관람가
51,0,20156921,살인의뢰[요약판],,,,,,,,
52,1,20181061,완벽한망상,완벽한 망상,74,2016,20180202,장편,미국,공포(호러),청소년관람불가
53,1,20208872,더발트:최후의전사,더 발트 : 최후의 전사,97,2020,,장편,헝가리,다큐멘터리,15세이상관람가
