boxofficeType,showRange,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
일별 박스오피스,20210301~20210301,1,1,2,OLD,20207443,소울,2021-01-20,329131370,21.6,-9332340,-2.8,17740102050,34370,-1320,-3.7,1915003,784,1877
일별 박스오피스,20210301~20210301,2,2,-1,OLD,20199541,미션 파서블,2021-02-17,319052630,20.9,-39028330,-10.9,3309280110,34099,-4673,-12.1,365231,778,2123
일별 박스오피스,20210301~20210301,3,3,-1,OLD,20200703,극장판 귀멸의 칼날: 무한열차편,2021-01-27,322039030,21.1,-35071100,-9.8,8885848380,32617,-3144,-8.8,925724,719,1483
일별 박스오피스,20210301~20210301,4,4,1,OLD,20202555,톰과 제리,2021-02-24,195877110,12.9,-18909180,-8.8,963466320,21987,-1729,-7.3,113320,883,2082
일별 박스오피스,20210301~20210301,5,5,-1,OLD,20215843,카오스 워킹,2021-02-24,176612900,11.6,-66526760,-27.4,1000914500,20060,-7272,-26.6,119886,720,2094
일별 박스오피스,20210301~20210301,6,6,0,OLD,20198663,고백,2021-02-24,23464300,1.5,-9713200,-29.3,170519300,2574,-1685,-39.6,23549,238,433
일별 박스오피스,20210301~20210301,7,7,0,OLD,20209013,워 위드 그랜파,2021-02-24,18512060,1.2,-2038420,-9.9,102403290,2068,-301,-12.7,12447,296,397
일별 박스오피스,20210301~20210301,8,8,0,OLD,20214848,퍼펙트 케어,2021-02-19,13561080,0.9,-887280,-6.1,194810080,1458,-134,-8.4,23034,101,113
일별 박스오피스,20210301~20210301,9,9,2,OLD,20215221,더 레이서,2021-02-24,9108340,0.6,-1237550,-12,62355840,1123,-152,-11.9,7593,137,164
일별 박스오피스,20210301~20210301,10,10,0,OLD,20050310,해리 포터와 불의 잔,2005-12-01,11196500,0.7,-2030500,-15.4,22065955900,1088,-202,-15.7,3496025,26,45
일별 박스오피스,20210302~20210302,1,1,2,OLD,20200703,극장판 귀멸의 칼날: 무한열차편,2021-01-27,134303840,31.9,-187735190,-58.3,9020152220,13931,-18686,-57.3,939655,592,1206
일별 박스오피스,20210302~20210302,2,2,0,OLD,20199541,미션 파서블,2021-02-17,73369050,17.4,-245683580,-77,3382649160,8110,-25989,-76.2,373341,627,1499
일별 박스오피스,20210302~20210302,3,3,-2,OLD,20207443,소울,2021-01-20,63028360,15,-266103010,-80.9,17803130410,6818,-27552,-80.2,1921821,591,1245
일별 박스오피스,20210302~20210302,4,4,1,OLD,20215843,카오스 워킹,2021-02-24,39661010,9.4,-136951890,-77.5,1040575510,5136,-14924,-74.4,125022,590,1341
일별 박스오피스,20210302~20210302,5,5,-1,OLD,20202555,톰과 제리,2021-02-24,32502920,7.7,-163374190,-83.4,995969240,3716,-18271,-83.1,117036,614,1139
일별 박스오피스,20210302~20210302,6,6,0,OLD,20198663,고백,2021-02-24,11300600,2.7,-12163700,-51.8,181819900,1579,-995,-38.7,25128,193,351
